csv,3rd,5th,10th,50th,90th,95th,97th
98,30.1,30.6,31.3,33.8,36.2,36.9,37.4
105,34.4,34.9,35.6,38.3,41.0,41.7,42.2
112,38.6,39.2,40.0,42.8,45.7,46.5,47.0
119,42.9,43.5,44.3,47.4,50.4,51.3,51.8
126,47.1,47.7,48.6,51.9,55.1,56.0,56.6
133,51.3,51.9,52.9,56.3,59.7,60.7,61.3
140,55.5,56.1,57.1,60.7,64.2,65.3,65.9
147,59.6,60.2,61.3,65.0,68.7,69.8,70.5
154,63.5,64.2,65.4,69.2,73.1,74.2,74.9
161,67.4,68.2,69.3,73.3,77.3,78.5,79.2
168,71.2,72.0,73.2,77.3,81.5,82.6,83.4
175,74.9,75.7,76.9,81.2,85.4,86.7,87.4
182,78.4,79.2,80.5,84.9,89.3,90.5,91.4
189,81.7,82.6,83.9,88.4,93.0,94.3,95.1
196,84.9,85.8,87.1,91.8,96.5,97.8,98.7
203,87.9,88.8,90.2,95.0,99.8,101.2,102.1
210,90.7,91.6,93.1,98.0,103.0,104.4,105.3
217,93.3,94.3,95.7,100.9,106.0,107.4,108.4
224,95.7,96.6,98.2,103.5,108.8,110.3,111.3
231,97.8,98.8,100.4,105.9,111.4,112.9,113.9
238,99.6,100.7,102.3,108.0,113.7,115.4,116.4
245,101.2,102.3,104.0,110.0,115.9,117.6,118.7
252,102.5,103.6,105.4,111.6,117.9,119.7,120.8
259,103.4,104.6,106.5,113.1,119.7,121.5,122.7
266,104.0,105.3,107.3,114.2,121.2,123.2,124.5
273,104.3,105.6,107.7,115.1,122.6,124.7,126.0
280,104.1,105.6,107.8,115.8,123.7,126.0,127.4
