csv,3rd,5th,10th,50th,90th,95th,97th
98,72.9,73.8,75.3,80.6,85.9,87.4,88.4
105,82.9,84.1,85.8,91.9,98.1,99.8,100.9
112,93.0,94.3,96.3,103.2,110.1,112.1,113.4
119,103.1,104.5,106.7,114.4,122.1,124.3,125.7
126,113.2,114.8,117.2,125.6,134.0,136.4,138.0
133,123.3,125.0,127.6,136.7,145.8,148.4,150.1
140,133.4,135.2,138.0,147.7,157.5,160.3,162.1
147,143.4,145.3,148.3,158.7,169.1,172.0,174.0
154,153.5,155.5,158.6,169.6,180.6,183.7,185.7
161,163.4,165.6,168.9,180.4,192.0,195.3,197.4
168,173.3,175.6,179.0,191.2,203.3,206.8,209.0
175,183.2,185.5,189.1,201.8,214.5,218.1,220.5
182,192.9,195.4,199.1,212.4,225.7,229.5,231.9
189,202.6,205.1,209.1,222.9,236.8,240.7,243.2
196,212.1,214.7,218.8,233.3,247.8,251.9,254.5
203,221.4,224.2,228.5,243.6,258.7,263.0,265.8
210,230.6,233.5,238.0,253.8,269.6,274.1,277.0
217,239.6,242.6,247.4,263.9,280.5,285.2,288.3
224,248.4,251.6,256.5,273.9,291.3,296.3,299.5
231,256.9,260.3,265.5,283.8,302.2,307.4,310.7
238,265.2,268.7,274.3,293.6,313.0,318.5,322.0
245,273.2,276.9,282.8,303.3,323.8,329.6,333.4
252,280.8,284.8,291.0,312.8,334.6,340.9,344.9
259,288.1,292.4,299.0,322.3,345.5,352.1,356.4
266,295.1,299.6,306.7,331.6,356.4,363.5,368.1
273,301.6,306.5,314.1,340.8,367.4,375.0,379.9
280,307.7,312.9,321.1,349.8,378.5,386.7,392.0
